filename,title,artist,year,source,chapter
parthenon.jpg,The Acropolis at Athens,Leo von Klenze,1846,https://commons.wikimedia.org/wiki/File:Akropolis_by_Leo_von_Klenze.jpg,22
athens-illustration.jpg,"Athens, Greece, 400 B.C. Copy of a book illustration of Athens II","Horydczak, Theodor, approximately 1890-1971, photographer",ca. 1920-ca. 1950.,https://www.loc.gov/resource/thc.5a44331/,22
